Tract,White (Non-Hispanic),BIPOC,Hispanic,Black,American Indian or Alaskan Native,Asian or Pacific Islander
000107,0.7388,0.2612,0.1856,0.0388,0.0275,0.0093
000108,0.6120,0.3530,0.2314,0.0157,0.1059,0.0000
000109,0.6299,0.3491,0.2299,0.0079,0.0995,0.0118
000110,0.5737,0.4022,0.3311,0.0212,0.0460,0.0039
000111,0.6122,0.3350,0.2472,0.0324,0.0000,0.0554
000112,0.7098,0.2710,0.2285,0.0197,0.0083,0.0145
000113,0.5833,0.3976,0.2622,0.0541,0.0763,0.0050
000114,0.4754,0.5018,0.3930,0.0493,0.0475,0.0120
000115,0.4483,0.5176,0.3287,0.1159,0.0642,0.0088
000116,0.6479,0.3449,0.3083,0.0146,0.0136,0.0084
000117,0.6133,0.3693,0.3303,0.0062,0.0241,0.0087
000118,0.5687,0.4313,0.3427,0.0081,0.0768,0.0037
000119,0.6707,0.3135,0.2772,0.0187,0.0055,0.0121
000120,0.4830,0.5119,0.4086,0.0403,0.0586,0.0044
000121,0.5218,0.4357,0.3404,0.0540,0.0119,0.0294
000122,0.5174,0.4651,0.3798,0.0111,0.0061,0.0681
000123,0.4749,0.4920,0.4429,0.0171,0.0286,0.0034
000124,0.3606,0.6039,0.3964,0.0758,0.0898,0.0419
000125,0.6589,0.3246,0.2163,0.0116,0.0148,0.0819
000126,0.5579,0.3844,0.2850,0.0306,0.0638,0.0050
000127,0.5126,0.4688,0.3389,0.0050,0.1110,0.0139
000128,0.4427,0.5409,0.4413,0.0352,0.0421,0.0223
000129,0.4401,0.5354,0.3953,0.0333,0.0140,0.0928
000203,0.5594,0.4220,0.2653,0.0325,0.1103,0.0139
000204,0.4252,0.5305,0.4463,0.0163,0.0434,0.0245
000205,0.3614,0.6216,0.5391,0.0142,0.0612,0.0071
000206,0.5096,0.4786,0.4127,0.0454,0.0104,0.0101
000207,0.4548,0.5196,0.4429,0.0278,0.0324,0.0165
000208,0.3266,0.6604,0.6278,0.0000,0.0326,0.0000
000300,0.6423,0.3227,0.2116,0.0148,0.0434,0.0529
000401,0.5666,0.4038,0.3114,0.0046,0.0176,0.0702
000402,0.6538,0.3130,0.2390,0.0407,0.0003,0.0330
000501,0.4166,0.5579,0.4208,0.0226,0.1014,0.0131
000502,0.6551,0.2979,0.2351,0.0229,0.0193,0.0206
000601,0.5112,0.4694,0.3383,0.0677,0.0185,0.0449
000603,0.1653,0.8347,0.7106,0.0179,0.0991,0.0071
000604,0.2386,0.7380,0.6514,0.0132,0.0586,0.0148
000704,0.4571,0.5332,0.4528,0.0120,0.0266,0.0418
000707,0.1804,0.8092,0.7338,0.0635,0.0119,0.0000
000708,0.3915,0.5760,0.4734,0.0273,0.0655,0.0098
000710,0.5488,0.4264,0.3140,0.0344,0.0000,0.0780
000711,0.5983,0.3864,0.3231,0.0104,0.0331,0.0198
000712,0.4712,0.5183,0.3694,0.0391,0.0993,0.0105
000713,0.3521,0.5760,0.3607,0.0747,0.1210,0.0196
000714,0.4026,0.5600,0.3694,0.0123,0.0251,0.1532
000801,0.6796,0.2377,0.1142,0.0886,0.0016,0.0333
000901,0.1431,0.8547,0.6888,0.0384,0.1187,0.0088
000903,0.3203,0.6539,0.3670,0.0903,0.1700,0.0266
000904,0.3259,0.6643,0.5509,0.0237,0.0265,0.0632
001101,0.5409,0.4189,0.3675,0.0124,0.0223,0.0167
001102,0.5137,0.4862,0.4282,0.0460,0.0068,0.0052
001200,0.2486,0.7123,0.5183,0.1068,0.0461,0.0411
001300,0.0429,0.9449,0.8963,0.0177,0.0309,0.0000
001400,0.1411,0.8478,0.7976,0.0324,0.0178,0.0000
001500,0.3645,0.6147,0.5270,0.0283,0.0040,0.0554
001600,0.5418,0.4071,0.2800,0.0091,0.0860,0.0320
001700,0.6721,0.3022,0.2536,0.0000,0.0102,0.0384
001800,0.3932,0.5716,0.3643,0.0227,0.0899,0.0947
001900,0.6462,0.3217,0.2113,0.0330,0.0387,0.0387
002000,0.3021,0.6979,0.5939,0.0033,0.0909,0.0098
002100,0.3542,0.6141,0.4176,0.0851,0.1075,0.0039
002200,0.4432,0.5313,0.4583,0.0150,0.0457,0.0123
002300,0.0969,0.9005,0.8965,0.0024,0.0016,0.0000
002401,0.1567,0.8254,0.7830,0.0215,0.0178,0.0031
002402,0.0508,0.9411,0.8233,0.0748,0.0430,0.0000
002500,0.2231,0.7716,0.7188,0.0386,0.0118,0.0024
002600,0.4361,0.5510,0.4862,0.0000,0.0648,0.0000
002700,0.3800,0.6091,0.5648,0.0108,0.0304,0.0031
002900,0.3074,0.6907,0.6217,0.0097,0.0510,0.0083
003001,0.3545,0.6318,0.6177,0.0016,0.0125,0.0000
003002,0.3903,0.6097,0.5859,0.0059,0.0150,0.0029
003100,0.5931,0.3782,0.3437,0.0163,0.0131,0.0051
003201,0.2951,0.7009,0.6633,0.0136,0.0075,0.0165
003202,0.2590,0.7292,0.6962,0.0000,0.0330,0.0000
003400,0.2489,0.7472,0.6283,0.0422,0.0753,0.0014
003501,0.3420,0.5949,0.5850,0.0080,0.0019,0.0000
003502,0.6330,0.3328,0.3217,0.0000,0.0000,0.0111
003600,0.3936,0.6064,0.5757,0.0000,0.0000,0.0307
003707,0.5815,0.3779,0.3139,0.0068,0.0572,0.0000
003712,0.5740,0.3943,0.2946,0.0553,0.0004,0.0440
003714,0.4035,0.5547,0.4612,0.0279,0.0350,0.0306
003715,0.6593,0.3351,0.2542,0.0126,0.0051,0.0632
003717,0.5891,0.3981,0.3032,0.0061,0.0495,0.0393
003718,0.5879,0.3905,0.2432,0.0341,0.0486,0.0646
003719,0.5523,0.4230,0.3110,0.0290,0.0416,0.0414
003721,0.7555,0.2080,0.1518,0.0021,0.0051,0.0490
003722,0.4954,0.4639,0.3735,0.0003,0.0000,0.0901
003723,0.5209,0.4694,0.3285,0.0680,0.0369,0.0360
003724,0.6966,0.2874,0.2393,0.0038,0.0108,0.0335
003725,0.6536,0.3335,0.2726,0.0192,0.0358,0.0059
003726,0.7940,0.2008,0.1471,0.0000,0.0000,0.0537
